address,point
sei1s0d5775tqec2wna7sany7p5j9s0j46sjcxyj3h,383.9
sei1tspelhnjej9rrypd88t9aum3av2fvq4fue8hgj,383.9
sei1f3rdlh9gznfvs4rc6d39xpeqp3dhmgjjuscjnz,383.9
sei1eeglw5h30l25vh0dl6g00mn8yj22vsjw7wg2aj,383.9
sei1mqlpn9pt6ra7x3d7j6xdyyms3vm0rgmlncq7ds,383.9
sei1lhu8cffxzvxe9epk7x9umku7dungpy0225cvz2,383.9
sei1my9mtyhm6n7g8wactlpx3r9406ahvux0j7el5w,383.9
sei1nk0kl4mqzrgakxhf5e8945l0c92zxywf2k5s36,383.9
sei1vakxnqyykkmrs6683sp0nwcshkl2e48gwflz2d,383.9
sei1n4j0gda3e8cngdwekxksg0zwvvdchj6lw0zr85,383.9
sei1gmcrk6ldmfzhwxv8wesv3tr9ukl6tj2fqc9rgy,383.9
sei1x4j5z3tqecmf9nkdw4u8k4a23ldk6nfm56jq3s,383.9
sei1pwlhfg03lajmlv6lauf0prhus7swlte5l2nawk,383.9
sei1eqnjd68lgemjaqd3v3fll79g8lq3ggus9kyxhh,383.9
sei16uffs4a09jwvpkmctk7pud5t3neksfrlvqjp3g,383.9
sei1y2d8ywclcjc7t7c9vuq2qy3ka8j580v78fvhcq,383.9
sei1zmkfk3d6femnpn0vqwmyffdnjd2avjm4u6w995,383.9
sei1wdq7prjpeymv8qu5x8ve4lwtl4f8q8phheqylh,383.9
sei1dyfkw57ms9vymxyjn9kusc4jmeraa7f6w4mhss,383.9
sei1pfx0tyusxa5qcqlvte95d2ju588eguwyc0hjms,383.9
sei1kelv85c2ln900g7yq64lqlk475mevx7jctl5f9,383.9
sei18zhjy7tl65s8m3uffq9jfzc6fgvhu2nkvm0xdr,383.9
sei1305pfwp37qxvyl20myfe5kpju2uhp9d5dw4ss2,383.9
sei1jksvamfrrfq7x0zwm4ygsjfnsmx54q0xmr5ev8,383.9
sei1qpgwu7v8d6647lruv6v2yj689mfur4tfku2t9p,381.3
sei1lf4a6vekyj62992642vg00pm7d0mrte2f0lj3j,378.7
sei1xn6prd7j68pnalyvhsguhcag89p4w7f7jc4g0j,376.1
sei1q6rsvh82h0m4t2zx06ey3d543y35s7g9wl4wkt,373.5
sei1fam3anmrm5trvqu7v5p4z6nk2wetz7gcxxa49s,369.6
sei15933gygd83m9qp09qe4qw4k2zvc484zua9le06,367
sei1slnypf9heu986s9dsa85tdqe637c3u3jt30zrk,365.7
sei1t4y2fxe389gxzza9nfj4hgsptpeuym2m7v9t7y,364.4
sei14uwyymvdj5qxkg6s0mf7ud8ad4saulyg02q0yn,363.1
sei1w83yeeqk9l3q7yf0yjft2rj02glj3mu7f6sere,359.2
sei1tke3d9ztph7haz88ue57lh28q74nhre4mwzfe2,355.3
sei10zjk7srlm5hsfephtdd3ksnruj069cd4w92v2t,352.7
sei1a37m0e0sf6ayw2xk4y645nkxllary6nwp9wcnu,351.4
sei189xwm3c3s5qecy8ry39m2wg2d2mz3r59nfxs37,350.1
sei1wkz3e3arrcep27epnchkhrz55yy4t4w0gu6x9x,344.9
sei1xdqkw7fr3xee3dda7pw58q80pdnsjs7mphfmes,334.05
sei1ra9pmjsk8xcjex2fnzz623nynuv2m6l92dftx5,334.05
sei1a3mx8mndp0gnvl8mq9xmf2vjsz8pl0676j4l49,326.7
sei1wz24ayvlr0k7f6slrugkepluc4jhrw986lrzgw,322.8
sei1t7fjant8npz5lv3sy5yjwr25cpgl2x7x3ft5sh,321.5
sei1rgkdfmnpy2wdmxn4wymhagq2erkgjha3frv9sp,318.45
sei1tg32kcu23cstxevejwp030l2ryh5wa98njw7m7,311.1
